time,open,high,low,close,volume,vw
2020-01-02 00:00:00-05:00,28.3,28.71,28.11,28.68,146451840,28.47
2020-01-03 00:00:00-05:00,29.37,30.27,29.13,29.53,270514905,29.75
2020-01-06 00:00:00-05:00,29.36,30.1,29.33,30.1,155437575,29.72
2020-01-07 00:00:00-05:00,30.76,31.44,30.22,31.27,277333950,30.94
2020-01-08 00:00:00-05:00,31.58,33.23,31.22,32.81,472302255,32.38
2020-01-09 00:00:00-05:00,33.14,33.25,31.52,32.09,434397240,32.37
2020-01-10 00:00:00-05:00,32.12,32.33,31.58,31.88,198256125,31.92
2020-01-13 00:00:00-05:00,32.9,35.04,32.8,34.99,403753710,34.09
2020-01-14 00:00:00-05:00,36.28,36.49,34.99,35.86,444004335,35.88
2020-01-15 00:00:00-05:00,35.32,35.86,34.45,34.57,264656190,35.27
2020-01-16 00:00:00-05:00,32.92,34.3,32.81,34.23,331859265,33.64
2020-01-17 00:00:00-05:00,33.84,34.38,33.54,34.03,207199635,33.98
2020-01-21 00:00:00-05:00,35.35,36.57,35.23,36.48,272691735,36.13
2020-01-22 00:00:00-05:00,38.13,39.63,37.27,37.97,475351605,38.48
2020-01-23 00:00:00-05:00,37.62,38.8,37.04,38.15,299644830,38.01
2020-01-24 00:00:00-05:00,38.04,38.26,36.95,37.65,219254595,37.56
2020-01-27 00:00:00-05:00,36.13,37.63,35.95,37.2,209476860,36.82
2020-01-28 00:00:00-05:00,37.9,38.45,37.21,37.79,180557055,37.73
2020-01-29 00:00:00-05:00,38.38,39.32,37.83,38.73,276030540,38.55
2020-01-30 00:00:00-05:00,42.16,43.39,41.2,42.72,439876950,42.78
2020-01-31 00:00:00-05:00,42.67,43.53,42.17,43.37,239222100,42.8
2020-02-03 00:00:00-05:00,44.91,52.41,44.9,52.0,715754220,49.19
2020-02-04 00:00:00-05:00,58.86,64.6,55.59,59.14,924128985,60.48
2020-02-05 00:00:00-05:00,54.88,56.4,46.94,48.98,735475815,50.72
2020-02-06 00:00:00-05:00,46.66,53.06,45.8,49.93,602980410,49.93
2020-02-07 00:00:00-05:00,48.7,51.32,48.67,49.87,260237910,49.79
2020-02-10 00:00:00-05:00,53.33,54.67,50.16,51.42,375063540,51.9
2020-02-11 00:00:00-05:00,51.25,52.23,50.53,51.63,177793200,51.54
2020-02-12 00:00:00-05:00,51.86,52.65,50.89,51.15,183293460,51.71
2020-02-13 00:00:00-05:00,49.46,54.53,49.0,53.6,397960020,52.68
2020-02-14 00:00:00-05:00,52.48,54.2,52.37,53.34,241249860,53.47
2020-02-18 00:00:00-05:00,56.11,57.33,55.49,57.23,254538840,56.67
2020-02-19 00:00:00-05:00,61.57,62.99,60.07,61.16,386611575,61.47
2020-02-20 00:00:00-05:00,60.8,60.8,57.33,59.96,268023705,59.39
2020-02-21 00:00:00-05:00,60.47,60.87,58.7,60.07,218897610,59.65
2020-02-24 00:00:00-05:00,55.93,57.57,54.81,55.59,232032015,56.14
2020-02-25 00:00:00-05:00,56.6,57.11,52.47,53.33,262972110,54.04
2020-02-26 00:00:00-05:00,52.17,54.22,51.74,51.92,217173465,52.73
2020-02-27 00:00:00-05:00,48.67,49.32,44.6,45.27,369568830,46.91
2020-02-28 00:00:00-05:00,41.98,46.03,40.77,44.53,373032420,43.09
2020-03-02 00:00:00-05:00,47.42,49.58,45.78,49.57,307758405,47.82
2020-03-03 00:00:00-05:00,53.67,53.8,47.74,49.7,392128260,50.89
2020-03-04 00:00:00-05:00,50.93,51.1,48.32,49.97,228811575,49.61
2020-03-05 00:00:00-05:00,48.25,49.72,47.87,48.3,165543030,48.72
2020-03-06 00:00:00-05:00,46.0,47.13,45.62,46.9,192721245,46.37
