time,open,high,low,close,volume,vw
2020-01-02 00:00:00-05:00,392.86,399.37,390.95,399.37,1407703,396.879682
2020-01-03 00:00:00-05:00,404.0,417.17,403.0,413.74,3181495,412.68525
2020-01-06 00:00:00-05:00,417.99,417.99,407.69,413.11,2806211,412.294104
2020-01-07 00:00:00-05:00,411.25,416.12,408.29,414.5,1211583,413.740035
2020-01-08 00:00:00-05:00,417.06,418.1803,409.72,411.03,1930665,412.732239
2020-01-09 00:00:00-05:00,410.49,416.0,410.0,414.93,1217747,414.251329
2020-01-10 00:00:00-05:00,415.0,415.6,412.48,413.83,1112815,413.85318
2020-01-13 00:00:00-05:00,415.19,420.96,414.6601,419.02,1057002,418.364885
2020-01-14 00:00:00-05:00,418.27,418.27,415.0669,416.14,1125284,416.07162
2020-01-15 00:00:00-05:00,416.14,421.48,416.14,420.95,923292,420.272768
2020-01-16 00:00:00-05:00,422.95,425.74,420.67,425.7,1256122,424.458513
2020-01-17 00:00:00-05:00,426.61,427.54,424.5,425.66,1390642,426.02562
2020-01-21 00:00:00-05:00,424.4,427.78,423.01,426.15,1212136,426.166081
2020-01-22 00:00:00-05:00,427.5,428.4976,424.36,424.42,1036761,425.476389
2020-01-23 00:00:00-05:00,424.06,429.56,424.0,428.78,1070687,428.137532
2020-01-24 00:00:00-05:00,429.9,433.522,429.69,432.5,1237604,431.999285
2020-01-27 00:00:00-05:00,425.86,434.45,425.86,432.38,1999364,431.106603
2020-01-28 00:00:00-05:00,434.77,438.99,426.27,437.17,2225939,435.752924
2020-01-29 00:00:00-05:00,437.72,437.99,431.02,433.84,1374401,434.90844
2020-01-30 00:00:00-05:00,430.3435,437.0,430.34,435.9,1310187,434.461277
2020-01-31 00:00:00-05:00,434.93,435.57,426.1,428.12,1888046,429.32428
2020-02-03 00:00:00-05:00,429.52,430.0,422.04,423.86,2064429,425.131386
2020-02-04 00:00:00-05:00,425.46,431.99,425.46,430.78,1385299,430.331588
2020-02-05 00:00:00-05:00,433.15,435.92,429.02,435.19,1393251,433.162696
2020-02-06 00:00:00-05:00,435.56,439.86,434.9131,438.97,943895,438.15012
2020-02-07 00:00:00-05:00,438.14,441.21,437.29,439.17,1018276,439.260666
2020-02-10 00:00:00-05:00,439.0,441.52,437.82,439.76,1025467,439.742556
2020-02-11 00:00:00-05:00,441.36,442.5322,437.47,439.85,794434,439.648315
2020-02-12 00:00:00-05:00,439.01,439.69,434.6,436.6,1560088,436.462347
2020-02-13 00:00:00-05:00,435.8,439.29,434.3,434.7,888555,435.586945
2020-02-14 00:00:00-05:00,434.98,438.47,434.31,437.85,1102526,437.295048
2020-02-18 00:00:00-05:00,437.0,438.95,434.01,435.55,918987,435.675215
2020-02-19 00:00:00-05:00,437.0,438.27,434.4,434.48,878811,435.850102
2020-02-20 00:00:00-05:00,433.63,434.99,424.1562,425.97,1290940,427.169682
2020-02-21 00:00:00-05:00,425.12,428.72,422.66,427.8,1278860,427.161398
2020-02-24 00:00:00-05:00,419.65,424.2,418.1,419.35,1219708,420.724918
